[2024-06-14T22:00:13.902Z] debug: 	Saved 2 profiles, took: 10.18ms
[2024-06-14T22:04:26.576Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:04:29.307Z] debug: 	Saved 2 profiles, took: 7.73ms
[2024-06-14T22:04:49.333Z] debug: 	Saved 2 profiles, took: 7.50ms
[2024-06-14T22:04:51.141Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:05:09.362Z] debug: 	Saved 2 profiles, took: 8.76ms
[2024-06-14T22:05:19.158Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:05:21.204Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:05:26.566Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:05:26.567Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:05:29.388Z] debug: 	Saved 2 profiles, took: 7.85ms
[2024-06-14T22:05:49.427Z] debug: 	Saved 2 profiles, took: 7.70ms
[2024-06-14T22:05:51.267Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:06:09.455Z] debug: 	Saved 2 profiles, took: 7.33ms
[2024-06-14T22:06:21.313Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:06:26.575Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:06:26.577Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:06:29.487Z] debug: 	Saved 2 profiles, took: 7.54ms
[2024-06-14T22:06:49.158Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:06:49.515Z] debug: 	Saved 2 profiles, took: 7.71ms
[2024-06-14T22:06:51.378Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:07:09.551Z] debug: 	Saved 2 profiles, took: 7.56ms
[2024-06-14T22:07:21.424Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:07:26.564Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:07:26.568Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:07:29.566Z] debug: 	Saved 2 profiles, took: 7.50ms
[2024-06-14T22:07:49.601Z] debug: 	Saved 2 profiles, took: 8.47ms
[2024-06-14T22:07:51.487Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:08:09.642Z] debug: 	Saved 2 profiles, took: 8.36ms
[2024-06-14T22:08:19.158Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:08:21.565Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:08:26.577Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:08:26.579Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:08:29.679Z] debug: 	Saved 2 profiles, took: 7.72ms
[2024-06-14T22:08:49.716Z] debug: 	Saved 2 profiles, took: 8.55ms
[2024-06-14T22:08:51.620Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:09:09.754Z] debug: 	Saved 2 profiles, took: 7.54ms
[2024-06-14T22:09:21.688Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:09:26.577Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:09:26.579Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:09:29.785Z] debug: 	Saved 2 profiles, took: 8.28ms
[2024-06-14T22:09:49.158Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:09:49.819Z] debug: 	Saved 2 profiles, took: 8.41ms
[2024-06-14T22:09:50.728Z] info: 	[Requête Client] /client/checkVersion
[2024-06-14T22:09:51.819Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:09:57.682Z] info: 	[Requête Client] /singleplayer/settings/raid/menu
[2024-06-14T22:10:01.081Z] info: 	[Requête Client] /client/insurance/items/list/cost
[2024-06-14T22:10:01.639Z] info: 	[Requête Client] /player/health/sync
[2024-06-14T22:10:03.710Z] info: 	[Requête Client] /fika/location/raids
[2024-06-14T22:10:09.806Z] info: 	[Requête Client] /fika/raid/create
[2024-06-14T22:10:09.806Z] debug: 	Generating data for: Sandbox, variant: 0
[2024-06-14T22:10:09.822Z] debug: 	createItem() No preset found for weapon: 6217726288ed9f0845317459
[2024-06-14T22:10:09.843Z] debug: 	Added 224 guaranteed containers
[2024-06-14T22:10:09.853Z] debug: 	Group: sandbox_container_supplyBox_lootable_medicine_N39_2 has no containers with < 100% spawn chance to choose from, skipping
[2024-06-14T22:10:09.853Z] debug: 	Group: sandbox_container_supplyBox_lootable_tools_N32_3 has no containers with < 100% spawn chance to choose from, skipping
[2024-06-14T22:10:09.853Z] debug: 	Group: sandbox_container_supplyBox_lootable_tools_N33_3 has no containers with < 100% spawn chance to choose from, skipping
[2024-06-14T22:10:09.853Z] debug: 	Group: sandbox_container_supplyBox_lootable_tools_N40_2 has no containers with < 100% spawn chance to choose from, skipping
[2024-06-14T22:10:09.855Z] debug: 	Group:  has no containers with < 100% spawn chance to choose from, skipping
[2024-06-14T22:10:09.855Z] succ: 	A total of 1141 static items spawned
[2024-06-14T22:10:09.855Z] succ: 	316 conteneurs statiques générés
[2024-06-14T22:10:10.068Z] succ: 	298 items dynamiques placés
[2024-06-14T22:10:10.068Z] succ: 	Zone générée : sandbox
[2024-06-14T22:10:10.077Z] debug: 	Saved 2 profiles, took: 8.59ms
[2024-06-14T22:10:10.119Z] info: 	[Requête Client] /client/match/group/exit_from_menu
[2024-06-14T22:10:26.563Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:10:26.564Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:10:30.114Z] debug: 	Saved 2 profiles, took: 13.09ms
[2024-06-14T22:10:42.878Z] info: 	[Requête Client] /singleplayer/settings/getRaidTime
[2024-06-14T22:10:42.919Z] info: 	[Requête Client] /client/raid/configuration
[2024-06-14T22:10:42.999Z] info: 	SWAG: PMC conversion is OFF (this is good - be sure this loads AFTER Realism/SVM)
[2024-06-14T22:10:43.000Z] info: 	SWAG: day Raid Max Bot Caps set
[2024-06-14T22:10:43.057Z] info: 	[Requête Client] /client/location/getLocalloot
[2024-06-14T22:10:43.568Z] info: 	[Requête Client] /fika/update/spawnpoint
[2024-06-14T22:10:43.756Z] info: 	[Requête Client] /fika/update/sethost
[2024-06-14T22:10:43.896Z] info: 	[Requête Client] /fika/update/playerspawn
[2024-06-14T22:10:43.933Z] info: 	[Requête Client] /fika/update/setstatus
[2024-06-14T22:10:50.142Z] debug: 	Saved 2 profiles, took: 9.80ms
[2024-06-14T22:10:53.915Z] info: 	[Requête Client] /singleplayer/settings/bot/maxCap
[2024-06-14T22:10:54.166Z] info: 	[Requête Client] /QuestingBots/GetAllQuestTemplates
[2024-06-14T22:10:55.461Z] info: 	[Requête Client] /fika/update/setstatus
[2024-06-14T22:10:55.723Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:55.743Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:55.744Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:55.744Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:55.923Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:55.923Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:55.924Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:10:55.953Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_ak105_545x39 and multiple items found in existing pool
[2024-06-14T22:10:56.025Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.026Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.026Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.049Z] debug: 	No default: mod_reciever mod found on template: weapon_izhmash_ak104_762x39 and multiple items found in existing pool
[2024-06-14T22:10:56.071Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:56.071Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.092Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.093Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.093Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.283Z] debug: 	Generated 15 sptBear () easy bots
[2024-06-14T22:10:56.286Z] info: 	[Requête Client] /singleplayer/settings/bot/limit/assault
[2024-06-14T22:10:56.286Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.287Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.292Z] debug: 	No default: mod_muzzle mod found on template: weapon_toz_sks_762x39 and multiple items found in existing pool
[2024-06-14T22:10:56.332Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.333Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:10:56.333Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:10:56.354Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:10:56.375Z] debug: 	No default: mod_stock mod found on template: weapon_adar_2-15_556x45 and multiple items found in existing pool
[2024-06-14T22:10:56.414Z] debug: 	No default: mod_muzzle mod found on template: weapon_benelli_m3_s90_12g and multiple items found in existing pool
[2024-06-14T22:10:56.456Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.457Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:10:56.478Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.479Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.502Z] debug: 	No default: mod_stock mod found on template: weapon_adar_2-15_556x45 and multiple items found in existing pool
[2024-06-14T22:10:56.523Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.523Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.523Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.545Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.565Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.565Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.566Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmash_mosin_infantry_762x54 and multiple items found in existing pool
[2024-06-14T22:10:56.588Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.588Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:56.588Z] debug: 	Plate slot: Left_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.606Z] debug: 	Generated 15 sptBear () normal bots
[2024-06-14T22:10:56.607Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.607Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.608Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.609Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.614Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.614Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.615Z] debug: 	No default: mod_muzzle mod found on template: weapon_benelli_m3_s90_12g and multiple items found in existing pool
[2024-06-14T22:10:56.637Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.637Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.637Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.700Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.701Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:56.701Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.721Z] debug: 	No default: mod_muzzle mod found on template: weapon_toz_sks_762x39 and multiple items found in existing pool
[2024-06-14T22:10:56.740Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr133_12g and multiple items found in existing pool
[2024-06-14T22:10:56.760Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.760Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.761Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:10:56.782Z] debug: 	No default: mod_muzzle mod found on template: weapon_remington_model_870_12g and multiple items found in existing pool
[2024-06-14T22:10:56.802Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.803Z] debug: 	No default: mod_reciever mod found on template: weapon_molot_akm_vpo_209_366_TKM and multiple items found in existing pool
[2024-06-14T22:10:56.845Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:56.845Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.845Z] debug: 	No default: mod_muzzle mod found on template: weapon_izhmeh_mr153_12g and multiple items found in existing pool
[2024-06-14T22:10:56.866Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:56.866Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.910Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.910Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:56.952Z] debug: 	Generated 15 sptBear () hard bots
[2024-06-14T22:10:56.953Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.955Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.955Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.956Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:56.964Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:10:56.965Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:56.965Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.031Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 4. Using mod items default plate
[2024-06-14T22:10:57.104Z] debug: 	No default: mod_pistolgrip mod found on template: weapon_izhmash_svd_s_762x54 and multiple items found in existing pool
[2024-06-14T22:10:57.223Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.224Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.224Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.224Z] debug: 	No default: mod_reciever mod found on template: weapon_molot_vepr_km_vpo_136_762x39 and multiple items found in existing pool
[2024-06-14T22:10:57.244Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.244Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.244Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.364Z] debug: 	No default: mod_muzzle mod found on template: weapon_benelli_m3_s90_12g and multiple items found in existing pool
[2024-06-14T22:10:57.380Z] debug: 	Generated 15 sptUsec () easy bots
[2024-06-14T22:10:57.381Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.382Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.383Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.383Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.384Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.384Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.385Z] info: 	[Requête Client] /QuestingBots/GenerateBot/0
[2024-06-14T22:10:57.390Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.390Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.390Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.413Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.413Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.413Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.474Z] debug: 	No default: mod_stock mod found on template: weapon_adar_2-15_556x45 and multiple items found in existing pool
[2024-06-14T22:10:57.493Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.493Z] debug: 	Plate slot: Left_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.493Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.493Z] debug: 	Plate slot: Right_side_plate selection for armor: 5c0e5edb86f77461f55ed1f7 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.516Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.516Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.540Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 3. Using mod items default plate
[2024-06-14T22:10:57.540Z] debug: 	Plate slot: Left_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.540Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_custom_thorcrv 609e8540d5c319764c2bc2e9, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.540Z] debug: 	Plate slot: Right_side_plate selection for armor: 609e8540d5c319764c2bc2e9 failed: NO_DEFAULT_FILTER, skipping
[2024-06-14T22:10:57.611Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_6b23_digital 5c0e5bab86f77461f55ed1f3, unable to find plates of level: 2. Using mod items default plate
[2024-06-14T22:10:57.612Z] debug: 	Plate slot: Back_plate selection for armor: 5c0e5bab86f77461f55ed1f3 failed: NO_DEFAULT_FILTER, skipping
